date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:27:02	45808/45808	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2013:57:00%20GMT	https://www.insee.fr/en/accueil	C:/My%20Web%20Sites/fun/www.insee.fr/en/accueil.html	(from )
19:27:03	63/63	---M-Z	200	added ('OK')	text/plain	date:Sun,%2030%20Oct%202022%2013:57:02%20GMT	https://www.insee.fr/robots.txt		(from )
19:27:04	285077/285077	---MCZ	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202022%2012:49:42%20GMT	https://www.insee.fr/static/css/application.css	C:/My%20Web%20Sites/fun/www.insee.fr/static/css/application.css	(from https://www.insee.fr/en/accueil)
19:27:04	2996/2996	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202022%2012:49:08%20GMT	https://www.insee.fr/static/css/featherlight/featherlight.css	C:/My%20Web%20Sites/fun/www.insee.fr/static/css/featherlight/featherlight.css	(from https://www.insee.fr/en/accueil)
19:27:04	14121/14121	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202022%2012:49:08%20GMT	https://www.insee.fr/static/css/swiper/swiper.min.css	C:/My%20Web%20Sites/fun/www.insee.fr/static/css/swiper/swiper.min.css	(from https://www.insee.fr/en/accueil)
19:27:04	10038/10038	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Sep%202022%2012:49:08%20GMT	https://www.insee.fr/static/css/dateTimePicker/jquery.datetimepicker.css	C:/My%20Web%20Sites/fun/www.insee.fr/static/css/dateTimePicker/jquery.datetimepicker.css	(from https://www.insee.fr/en/accueil)
19:27:05	30347/30347	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2005%20Sep%202022%2012:49:08%20GMT	https://www.insee.fr/static/js/svg/graphsvg.js	C:/My%20Web%20Sites/fun/www.insee.fr/static/js/svg/graphsvg.js	(from https://www.insee.fr/en/accueil)
19:27:06	605365/605365	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2005%20Sep%202022%2012:49:40%20GMT	https://www.insee.fr/static/js/application.babel.js	C:/My%20Web%20Sites/fun/www.insee.fr/static/js/application.babel.js	(from https://www.insee.fr/en/accueil)
19:27:06	644573/644573	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2005%20Sep%202022%2012:06:12%20GMT	https://www.insee.fr/static/js/application-lib.min.js	C:/My%20Web%20Sites/fun/www.insee.fr/static/js/application-lib.min.js	(from https://www.insee.fr/en/accueil)
19:27:07	15880/15880	---M--	200	added ('OK')	image/gif	date:Mon,%2005%20Sep%202022%2012:49:08%20GMT	https://www.insee.fr/static/img/preloader.gif	C:/My%20Web%20Sites/fun/www.insee.fr/static/img/preloader.gif	(from https://www.insee.fr/en/accueil)
19:27:07	31902/31902	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2013:57:05%20GMT	https://www.insee.fr/en/information/3313008	C:/My%20Web%20Sites/fun/www.insee.fr/en/information/3313008.html	(from https://www.insee.fr/en/accueil)
19:27:08	34437/34437	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2013:57:06%20GMT	https://www.insee.fr/en/information/2107814	C:/My%20Web%20Sites/fun/www.insee.fr/en/information/2107814.html	(from https://www.insee.fr/en/accueil)
